n00004475	有机体，生物
n10646942	stamper, stomper, tramper, trampler
n10647745	standee
n10648237	stand-in, substitute, relief, reliever, backup, backup man, fill-in
n10648696	star, principal, lead
n10649197	starlet
n10649308	starter, dispatcher
n10650162	statesman, solon, national leader
n10652605	state treasurer
n10652703	stationer, stationery seller
n10654015	stenographer, amanuensis, shorthand typist
n10654211	stentor
n10654321	stepbrother, half-brother, half brother
n10654827	stepmother
n10654932	stepparent
n10655169	stevedore, loader, longshoreman, docker, dockhand, dock worker, dockworker, dock-walloper, lumper
n10655442	steward
n10655594	乘务员，空中乘务员，空中服务员，空乘
n10655730	steward
n10655986	stickler
n10656120	stiff
n10656223	stifler, smotherer
n10656969	stipendiary, stipendiary magistrate
n10657306	stitcher
n10657556	stockjobber
n10657835	stock trader
n10658304	stockist
n10659042	stoker, fireman
n10659762	stooper
n10660128	store detective
n10660621	strafer
n10660883	straight man, second banana
n10661002	stranger, alien, unknown
n10661216	stranger
n10661563	strategist, strategian
n10661732	straw boss, assistant foreman
n10663315	streetwalker, street girl, hooker, hustler, floozy, floozie, slattern
n10663549	stretcher-bearer, litter-bearer
n10665302	struggler
n10665587	stud, he-man, macho-man
n10665698	学生，弟子
n10666752	stumblebum, palooka
n10667477	stylist
n10667709	subaltern
n10667863	subcontractor
n10668450	subduer, surmounter, overcomer
n10668666	实验品，白老鼠，监视对象
n10669991	subordinate, subsidiary, underling, foot soldier
n10671042	substitute, reserve, second-stringer
n10671613	successor, heir
n10671736	successor, replacement
n10671898	succorer, succourer
n10672371	Sufi
n10672540	suffragan, suffragan bishop
n10672662	suffragette
n10673296	sugar daddy
n10673776	suicide bomber
n10674130	suitor, suer, wooer
n10674713	sumo wrestler
n10675010	sunbather
n10675142	sundowner
n10675609	super heavyweight
n10676018	superior, higher-up, superordinate
n10676434	supermom
n10676569	supernumerary, spear carrier, extra
n10678937	supremo
n10679174	外科医生
n10679503	Surgeon General
n10679610	Surgeon General
n10679723	surpriser
n10680609	surveyor
n10680796	surveyor
n10681194	残存者
n10681557	sutler, victualer, victualler, provisioner
n10682713	sweeper
n10682953	sweetheart, sweetie, steady, truelove
n10683675	swinger, tramp
n10684146	switcher, whipper
n10684630	swot, grind, nerd, wonk, dweeb
n10684827	sycophant, toady, crawler, lackey, ass-kisser
n10685398	sylph
n10686073	sympathizer, sympathiser, well-wisher
n10686517	symphonist
n10686694	syncopator
n10686885	syndic
n10688356	tactician
n10688811	tagger
n10689306	tailback
n10690268	tallyman, tally clerk
n10690421	tallyman
n10690648	tanker, tank driver
n10691318	tapper, wiretapper, phone tapper
n10691937	Tartuffe, Tartufe
n10692090	Tarzan
n10692482	taster, taste tester, taste-tester, sampler
n10692883	tax assessor, assessor
n10693235	taxer
n10693334	taxi dancer
n10693824	taxonomist, taxonomer, systematist
n10694258	教师，教练，老师
n10694939	teaching fellow
n10695450	tearaway
n10696101	technical sergeant
n10696508	technician
n10697135	Ted, Teddy boy
n10697282	teetotaler, teetotaller, teetotalist
n10698368	television reporter, television newscaster, TV reporter, TV newsman
n10699558	temporizer, temporiser
n10699752	tempter
n10699981	term infant
n10700105	toiler
n10700201	佃户，房客，承租人，租户
n10700640	tenant
n10700963	tenderfoot
n10701180	tennis player
n10701644	tennis pro, professional tennis player
n10701962	tenor saxophonist, tenorist
n10702167	termer
n10702615	terror, scourge, threat
n10703221	tertigravida, gravida III
n10703336	testator, testate
n10703480	testatrix
n10703692	testee, examinee
n10704238	test-tube baby
n10704712	Texas Ranger, Ranger
n10704886	thane
n10705448	theatrical producer
n10705615	theologian, theologist, theologizer, theologiser
n10706812	理论家
n10707134	theosophist
n10707233	医疗者，治疗学家
n10707707	Thessalonian
n10708292	思想家，思考者
n10708454	thinker
n10709529	thrower
n10710171	thurifer
n10710259	ticket collector, ticket taker
n10710778	tight end
n10710913	tiler
n10711483	timekeeper, timer
n10711766	Timorese
n10712229	tinkerer, fiddler
n10712374	tinsmith, tinner
n10712474	tinter
n10712690	tippler, social drinker
n10712835	tipster, tout
n10713254	T-man
n10713686	toastmaster, symposiarch
n10713843	toast mistress
n10714195	tobogganist
n10715030	tomboy, romp, hoyden
n10715347	toolmaker
n10715789	torchbearer
n10716576	Tory
n10716864	Tory
n10717055	tosser
n10717196	tosser, jerk-off, wanker
n10717337	totalitarian
n10718131	度假者，旅游者，旅行者，游人，游客，观光客
n10718349	tout, touter
n10718509	tout, ticket tout
n10718665	tovarich, tovarisch
n10718952	towhead
n10719036	town clerk
n10719132	town crier, crier
n10719267	townsman, towner
n10719807	toxicologist
n10720197	track star
n10720453	买卖约定者，商人
n10720964	trade unionist, unionist, union member
n10721124	traditionalist, diehard
n10721321	traffic cop
n10721612	tragedian
n10721708	tragedian
n10721819	tragedienne
n10722029	trail boss
n10722575	教练员，驯兽师
n10722965	traitor, treasonist
n10723230	traitress
n10723597	transactor
n10724132	transcriber
n10724372	transfer, transferee
n10724570	transferee
n10725280	translator, transcriber
n10726031	transvestite, cross-dresser
n10726786	traveling salesman, travelling salesman, commercial traveler, commercial traveller, roadman, bagman
n10727016	traverser
n10727171	trawler
n10727458	Treasury, First Lord of the Treasury
n10728117	trencher
n10728233	trend-setter, taste-maker, fashion arbiter
n10728624	tribesman
n10728998	trier, attempter, essayer
n10729330	trifler
n10730542	trooper
n10730728	trooper, state trooper
n10731013	Trotskyite, Trotskyist, Trot
n10731732	truant, hooky player
n10732010	trumpeter, cornetist
n10732521	trusty
n10732854	Tudor
n10732967	tumbler
n10733820	tutee
n10734394	双胞胎，双胞胎之一
n10734741	two-timer
n10734891	Tyke
n10734963	tympanist, timpanist
n10735173	typist
n10735298	tyrant, autocrat, despot
n10735984	umpire, ump
n10737103	understudy, standby
n10737264	undesirable
n10738111	unicyclist
n10738215	unilateralist
n10738670	Unitarian
n10738871	阿米尼乌斯派教义的追随者
n10739135	universal donor
n10739297	UNIX guru
n10739391	Unknown Soldier
n10740594	upsetter
n10740732	upstager
n10740868	upstart, parvenu, nouveau-riche, arriviste
n10741152	upstart
n10741367	urchin
n10741493	urologist
n10742005	usherette
n10742111	usher, doorkeeper
n10742546	usurper, supplanter
n10742997	utility man
n10743124	utilizer, utiliser
n10743356	Utopian
n10744078	uxoricide
n10744164	vacationer, vacationist
n10745006	valedictorian, valedictory speaker
n10745770	valley girl
n10746931	vaulter, pole vaulter, pole jumper
n10747119	吃素的人，素食主义者，素食者
n10747424	vegan
n10747548	venerator
n10747965	venture capitalist
n10748142	venturer, merchant-venturer
n10748506	vermin, varmint
n10748620	very important person, VIP, high-up, dignitary, panjandrum, high muckamuck
n10749928	vibist, vibraphonist
n10750031	vicar
n10750188	vicar
n10750640	vicar-general
n10751026	vice chancellor
n10751152	vicegerent
n10751265	vice president, V.P.
n10751710	vice-regent
n10752480	victim, dupe
n10753061	Victorian
n10753182	victualer, victualler
n10753339	vigilante, vigilance man
n10753442	乡下人，乡村居民，村民
n10753989	vintager
n10754189	vintner, wine merchant
n10754281	violator, debaucher, ravisher
n10754449	violator, lawbreaker, law offender
n10755080	violist
n10755164	virago
n10755394	virologist
n10755648	Visayan, Bisayan
n10756061	viscountess
n10756148	viscount
n10756261	Visigoth
n10756641	visionary
n10756837	visiting fireman
n10757050	visiting professor
n10757492	visualizer, visualiser
n10758337	vixen, harpy, hellcat
n10758445	vizier
n10758949	voicer
n10759151	自愿者
n10759331	volunteer, military volunteer, voluntary
n10759982	votary
n10760199	votary
n10760622	vouchee
n10760951	vower
n10761190	voyager
n10761326	voyeur, Peeping Tom, peeper
n10761519	vulcanizer, vulcaniser
n10762212	waffler
n10762480	Wagnerian
n10763075	waif, street child
n10763245	wailer
n10763383	侍者，服务员
n10763620	waitress
n10764465	walking delegate
n10764622	walk-on
n10764719	wallah
n10765305	wally
n10765587	waltzer
n10765679	wanderer, roamer, rover, bird of passage
n10765885	Wandering Jew
n10766260	wanton
n10768148	warrantee
n10768272	warrantee
n10768903	washer
n10769084	washerman, laundryman
n10769188	washwoman, washerwoman, laundrywoman, laundress
n10769321	wassailer, carouser
n10769459	wastrel, waster
n10771066	Wave
n10772092	weatherman, weather forecaster
n10772580	weekend warrior
n10772937	weeder
n10773665	welder
n10773800	welfare case, charity case
n10774329	westerner
n10774756	West-sider
n10775003	wetter
n10775128	whaler
n10776052	Whig
n10776339	whiner, complainer, moaner, sniveller, crybaby, bellyacher, grumbler, squawker
n10776887	whipper-in
n10777299	whisperer
n10778044	whiteface
n10778148	Carmelite, White Friar
n10778711	圣奥古斯丁信徒
n10778999	white hope, great white hope
n10779610	white supremacist
n10779897	whoremaster, whoremonger
n10779995	whoremaster, whoremonger, john, trick
n10780284	孀妇，寡妇
n10780632	太太，妻子，爱人，老婆
n10781236	wiggler, wriggler, squirmer
n10781817	胆怯者
n10782362	wing commander
n10782471	winger
n10782791	winner
n10782940	优胜者，胜利者
n10783240	window dresser, window trimmer
n10783539	winker
n10783646	wiper
n10783734	wireman, wirer
n10784113	wise guy, smart aleck, wiseacre, wisenheimer, weisenheimer
n10784544	witch doctor
n10784922	withdrawer
n10785480	withdrawer
n10787470	女人，女性，妇女
n10788852	woman
n10789415	wonder boy, golden boy
n10789709	wonderer
n10791115	working girl
n10791221	workman, workingman, working man, working person
n10791820	workmate
n10791890	worldling
n10792335	worshiper, worshipper
n10792506	worthy
n10792856	wrecker
n10793570	wright
n10793799	write-in candidate, write-in
n10794014	作家，作者，撰稿者，笔者，著者
n10801561	Wykehamist
n10801802	yakuza
n10802507	yard bird, yardbird
n10802621	yardie
n10802953	yardman
n10803031	yardmaster, trainmaster, train dispatcher
n10803282	yenta
n10803978	yogi
n10804287	young buck, young man
n10804636	young Turk
n10804732	Young Turk
n10805501	Zionist
n10806113	zoo keeper
n10994097	Genet, Edmund Charles Edouard Genet, Citizen Genet
n11100798	Kennan, George F. Kennan, George Frost Kennan
n11196627	Munro, H. H. Munro, Hector Hugh Munro, Saki
n11242849	Popper, Karl Popper, Sir Karl Raimund Popper
n11318824	Stoker, Bram Stoker, Abraham Stoker
n11346873	Townes, Charles Townes, Charles Hard Townes
n11448153	dust storm, duster, sandstorm, sirocco
n11487732	parhelion, mock sun, sundog
n11508382	下雪，降雪，雪
n11511327	facula
n11524451	wave
n11530008	microflora
n11531193	wilding
n11531334	semi-climber
n11532682	volva
n11533212	basidiocarp
n11533999	domatium
n11536567	无融合生殖植物，无配生殖植物
n11536673	水生植物
n11537327	bryophyte, nonvascular plant
n11539289	顶苞苔
n11542137	sphagnum, sphagnum moss, peat moss, bog moss
n11542640	liverwort, hepatic
n11544015	hepatica, Marchantia polymorpha
n11545350	pecopteris
n11545524	pteridophyte, nonflowering plant
n11545714	fern
n11547562	fern ally
n11547855	spore
n11548728	carpospore
n11548870	chlamydospore
n11549009	conidium, conidiospore
n11549245	oospore
n11549779	tetraspore
n11549895	zoospore
n11552133	cryptogam
n11552386	spermatophyte, phanerogam, seed plant
n11552594	seedling
n11552806	一年生植物
n11552976	biennial
n11553240	perennial
n11553522	hygrophyte
n11596108	gymnosperm
n11597657	gnetum, Gnetum gnemon
n11598287	Catha edulis
n11598686	ephedra, joint fir
n11598886	mahuang, Ephedra sinica
n11599324	welwitschia, Welwitschia mirabilis
n11600372	cycad
n11601177	sago palm, Cycas revoluta
n11601333	false sago, fern palm, Cycas circinalis
n11601918	zamia
n11602091	coontie, Florida arrowroot, Seminole bread, Zamia pumila
n11602478	ceratozamia
n11602873	dioon
n11603246	encephalartos
n11603462	kaffir bread, Encephalartos caffer
n11603835	macrozamia
n11604046	burrawong, Macrozamia communis, Macrozamia spiralis
n11608250	pine, pine tree, true pine
n11609475	pinon, pinyon
n11609684	nut pine
n11609862	pinon pine, Mexican nut pine, Pinus cembroides
n11610047	Rocky mountain pinon, Pinus edulis
n11610215	single-leaf, single-leaf pine, single-leaf pinyon, Pinus monophylla
n11610437	bishop pine, bishop's pine, Pinus muricata
n11610602	California single-leaf pinyon, Pinus californiarum
n11610823	Parry's pinyon, Pinus quadrifolia, Pinus parryana
n11611087	spruce pine, Pinus glabra
n11611233	black pine, Pinus nigra
n11611356	pitch pine, northern pitch pine, Pinus rigida
n11611561	pond pine, Pinus serotina
n11611758	stone pine, umbrella pine, European nut pine, Pinus pinea
n11612018	Swiss pine, Swiss stone pine, arolla pine, cembra nut tree, Pinus cembra
n11612235	cembra nut, cedar nut
n11612349	Swiss mountain pine, mountain pine, dwarf mountain pine, mugho pine, mugo pine, Pinus mugo
n11612575	刺果松
n11612923	white pine
n11613219	美国五叶松
n11613459	western white pine, silver pine, mountain pine, Pinus monticola
n11613692	southwestern white pine, Pinus strobiformis
n11613867	limber pine, Pinus flexilis
n11614039	whitebark pine, whitebarked pine, Pinus albicaulis
n11614250	yellow pine
n11614420	ponderosa, ponderosa pine, western yellow pine, bull pine, Pinus ponderosa
n11614713	Jeffrey pine, Jeffrey's pine, black pine, Pinus jeffreyi
n11615026	shore pine, lodgepole, lodgepole pine, spruce pine, Pinus contorta
n11615259	Sierra lodgepole pine, Pinus contorta murrayana
n11615387	loblolly pine, frankincense pine, Pinus taeda
n11615607	jack pine, Pinus banksiana
n11615812	swamp pine
n11615967	longleaf pine, pitch pine, southern yellow pine, Georgia pine, Pinus palustris
n11616260	shortleaf pine, short-leaf pine, shortleaf yellow pine, Pinus echinata
n11616486	red pine, Canadian red pine, Pinus resinosa
n11616662	Scotch pine, Scots pine, Scotch fir, Pinus sylvestris
n11616852	scrub pine, Virginia pine, Jersey pine, Pinus virginiana
n11617090	Monterey pine, Pinus radiata
n11617272	bristlecone pine, Rocky Mountain bristlecone pine, Pinus aristata
n11617631	table-mountain pine, prickly pine, hickory pine, Pinus pungens
n11617878	knobcone pine, Pinus attenuata
n11618079	Japanese red pine, Japanese table pine, Pinus densiflora
n11618290	Japanese black pine, black pine, Pinus thunbergii
n11618525	Torrey pine, Torrey's pine, soledad pine, grey-leaf pine, sabine pine, Pinus torreyana
n11618861	larch, larch tree
n11619227	美洲落叶松
n11619455	western larch, western tamarack, Oregon larch, Larix occidentalis
n11619687	subalpine larch, Larix lyallii
n11619845	European larch, Larix decidua
n11620016	Siberian larch, Larix siberica, Larix russica
n11620389	golden larch, Pseudolarix amabilis
n11620673	fir, fir tree, true fir
n11621029	silver fir
n11621281	美国冷杉
n11621547	European silver fir, Christmas tree, Abies alba
n11621727	white fir, Colorado fir, California white fir, Abies concolor, Abies lowiana
n11621950	balsam fir, balm of Gilead, Canada balsam, Abies balsamea
n11622184	Fraser fir, Abies fraseri
n11622368	lowland fir, lowland white fir, giant fir, grand fir, Abies grandis
n11622591	洛杉矶冷杉
n11622771	Santa Lucia fir, bristlecone fir, Abies bracteata, Abies venusta
n11623105	cedar, cedar tree, true cedar
n11623815	cedar of Lebanon, Cedrus libani
n11623967	deodar, deodar cedar, Himalayan cedar, Cedrus deodara
n11624192	阿特拉斯雪松
n11624531	spruce
n11625003	Norway spruce, Picea abies
n11625223	weeping spruce, Brewer's spruce, Picea breweriana
n11625391	Engelmann spruce, Engelmann's spruce, Picea engelmannii
n11625632	white spruce, Picea glauca
n11625804	black spruce, Picea mariana, spruce pine
n11626010	Siberian spruce, Picea obovata
n11626152	Sitka spruce, Picea sitchensis
n11626409	oriental spruce, Picea orientalis
n11626585	Colorado spruce, Colorado blue spruce, silver spruce, Picea pungens
n11626826	red spruce, eastern spruce, yellow spruce, Picea rubens
n11627168	hemlock, hemlock tree
n11627512	eastern hemlock, Canadian hemlock, spruce pine, Tsuga canadensis
n11627714	Carolina hemlock, Tsuga caroliniana
n11627908	mountain hemlock, black hemlock, Tsuga mertensiana
n11628087	western hemlock, Pacific hemlock, west coast hemlock, Tsuga heterophylla
n11628456	douglas fir
n11628793	green douglas fir, douglas spruce, douglas pine, douglas hemlock, Oregon fir, Oregon pine, Pseudotsuga menziesii
n11629047	big-cone spruce, big-cone douglas fir, Pseudotsuga macrocarpa
n11629354	Cathaya
n11630017	cedar, cedar tree
n11630489	cypress, cypress tree
n11631159	gowen cypress, Cupressus goveniana
n11631405	pygmy cypress, Cupressus pigmaea, Cupressus goveniana pigmaea
n11631619	Santa Cruz cypress, Cupressus abramsiana, Cupressus goveniana abramsiana
n11631854	绿干柏
n11631985	Guadalupe cypress, Cupressus guadalupensis
n11632167	Monterey cypress, Cupressus macrocarpa
n11632376	Mexican cypress, cedar of Goa, Portuguese cypress, Cupressus lusitanica
n11632619	Italian cypress, Mediterranean cypress, Cupressus sempervirens
n11632929	King William pine, Athrotaxis selaginoides
n11633284	Chilean cedar, Austrocedrus chilensis
n11634736	incense cedar, red cedar, Calocedrus decurrens, Libocedrus decurrens
n11635152	southern white cedar, coast white cedar, Atlantic white cedar, white cypress, white cedar, Chamaecyparis thyoides
n11635433	Oregon cedar, Port Orford cedar, Lawson's cypress, Lawson's cedar, Chamaecyparis lawsoniana
n11635830	yellow cypress, yellow cedar, Nootka cypress, Alaska cedar, Chamaecyparis nootkatensis
n11636204	Japanese cedar, Japan cedar, sugi, Cryptomeria japonica
n11636835	juniper berry
n11639084	incense cedar
n11639306	kawaka, Libocedrus plumosa
n11639445	pahautea, Libocedrus bidwillii, mountain pine
n11640132	metasequoia, dawn redwood, Metasequoia glyptostrodoides
n11643835	侧柏，金钟柏
n11644046	western red cedar, red cedar, canoe cedar, Thuja plicata
n11644226	北美香柏
n11644462	Oriental arborvitae, Thuja orientalis, Platycladus orientalis
n11644872	hiba arborvitae, Thujopsis dolobrata
n11645163	keteleeria
n11645590	Wollemi pine
n11645914	南洋杉
n11646167	monkey puzzle, chile pine, Araucaria araucana
n11646344	norfolk island pine, Araucaria heterophylla, Araucaria excelsa
n11646517	new caledonian pine, Araucaria columnaris
n11646694	bunya bunya, bunya bunya tree, Araucaria bidwillii
n11646955	hoop pine, Moreton Bay pine, Araucaria cunninghamii
n11647306	kauri pine, dammar pine
n11647703	kauri, kaury, Agathis australis
n11647868	贝壳杉
n11648039	dundathu pine, queensland kauri, smooth bark kauri, Agathis robusta
n11648268	red kauri, Agathis lanceolata
n11648776	plum-yew
n11649150	California nutmeg, nutmeg-yew, Torreya californica
n11649359	stinking cedar, stinking yew, Torrey tree, Torreya taxifolia
n11649878	celery pine
n11650160	celery top pine, celery-topped pine, Phyllocladus asplenifolius
n11650307	tanekaha, Phyllocladus trichomanoides
n11650430	Alpine celery pine, Phyllocladus alpinus
n11650558	yellowwood, yellowwood tree
n11650759	gymnospermous yellowwood
n11652039	podocarp
n11652217	yacca, yacca podocarp, Podocarpus coriaceus
n11652376	brown pine, Rockingham podocarp, Podocarpus elatus
n11652578	cape yellowwood, African yellowwood, Podocarpus elongatus
n11652753	South-African yellowwood, Podocarpus latifolius
n11652966	雪白罗汉松
n11653126	totara, Podocarpus totara
n11653570	common yellowwood, bastard yellowwood, Afrocarpus falcata
n11653904	kahikatea, New Zealand Dacryberry, New Zealand white pine, Dacrycarpus dacrydioides, Podocarpus dacrydioides
n11654293	rimu, imou pine, red pine, Dacrydium cupressinum
n11654438	tarwood, tar-wood, Dacrydium colensoi
n11654984	common sickle pine, Falcatifolium falciforme
n11655152	yellow-leaf sickle pine, Falcatifolium taxoides
n11655592	tarwood, tar-wood, New Zealand mountain pine, Halocarpus bidwilli, Dacrydium bidwilli
n11655974	westland pine, silver pine, Lagarostrobus colensoi
n11656123	huon pine, Lagarostrobus franklinii, Dacrydium franklinii
n11656549	Chilean rimu, Lepidothamnus fonkii
n11656771	mountain rimu, Lepidothamnus laxifolius, Dacridium laxifolius
n11657585	nagi, Nageia nagi
n11658331	miro, black pine, Prumnopitys ferruginea, Podocarpus ferruginea
n11658544	matai, black pine, Prumnopitys taxifolia, Podocarpus spicata
n11658709	plum-fruited yew, Prumnopitys andina, Prumnopitys elegans
n11659248	Prince Albert yew, Prince Albert's yew, Saxe-gothea conspicua
n11659627	Sundacarpus amara, Prumnopitys amara, Podocarpus amara
n11660300	Japanese umbrella pine, Sciadopitys verticillata
n11661372	yew
n11661909	Old World yew, English yew, Taxus baccata
n11662128	Pacific yew, California yew, western yew, Taxus brevifolia
n11662371	Japanese yew, Taxus cuspidata
n11662585	Florida yew, Taxus floridana
n11662937	New Caledonian yew, Austrotaxus spicata
n11663263	white-berry yew, Pseudotaxus chienii
n11664418	ginkgo, gingko, maidenhair tree, Ginkgo biloba
n11665372	被子植物
n11666854	dicot, dicotyledon, magnoliopsid, exogen
n11668117	monocot, monocotyledon, liliopsid, endogen
n11669786	floret, floweret
n11669921	开花植物，花
n11672269	bloomer
n11672400	wildflower, wild flower
n11674019	无瓣花
n11674332	inflorescence
n11675025	rosebud
n11675404	gynostegium
n11675738	pollinium
n11676500	pistil
n11676743	gynobase
n11676850	gynophore
n11677485	stylopodium
n11677902	carpophore
n11678010	cornstalk, corn stalk
n11678299	petiolule
n11678377	mericarp
n11679378	micropyle
n11680457	germ tube
n11680596	pollen tube
n11682659	gemma
n11683216	galbulus
n11683838	nectary, honey gland
n11684264	pericarp, seed vessel
n11684499	epicarp, exocarp
n11684654	mesocarp
n11685091	pip
n11685621	silique, siliqua
n11686195	cataphyll
n11686652	perisperm
n11686780	monocarp, monocarpic plant, monocarpous plant
n11686912	sporophyte
n11687071	gametophyte
n11687432	megasporangium, macrosporangium
n11687789	microspore
n11687964	microsporangium
n11688069	microsporophyll
n11688378	孢原，孢原组织
n11689197	bonduc nut, nicker nut, nicker seed
n11689367	Job's tears
n11689483	oilseed, oil-rich seed
n11689678	castor bean
n11689815	cottonseed
n11689957	candlenut
n11690088	peach pit
n11690254	hypanthium, floral cup, calyx tube
n11690455	petal, flower petal
n11691046	corolla
n11691857	lip
n11692265	perianth, chlamys, floral envelope, perigone, perigonium
n11692792	thistledown
n11693981	custard apple, custard apple tree
n11694300	cherimoya, cherimoya tree, Annona cherimola
n11694469	ilama, ilama tree, Annona diversifolia
n11694664	soursop, prickly custard apple, soursop tree, Annona muricata
n11694866	bullock's heart, bullock's heart tree, bullock heart, Annona reticulata
n11695085	sweetsop, sweetsop tree, Annona squamosa
n11695285	pond apple, pond-apple tree, Annona glabra
n11695599	pawpaw, papaw, papaw tree, Asimina triloba
n11695974	ilang-ilang, ylang-ylang, Cananga odorata
n11696450	lancewood, lancewood tree, Oxandra lanceolata
n11696935	Guinea pepper, negro pepper, Xylopia aethiopica
n11697560	barberry
n11697802	美国小檗属植物
n11698042	common barberry, European barberry, Berberis vulgaris
n11698245	Japanese barberry, Berberis thunbergii
n11699442	Oregon grape, Oregon holly grape, hollygrape, mountain grape, holly-leaves barberry, Mahonia aquifolium
n11699751	Oregon grape, Mahonia nervosa
n11700058	mayapple, May apple, wild mandrake, Podophyllum peltatum
n11700279	May apple
n11700864	多香果
n11701066	Carolina allspice, strawberry shrub, strawberry bush, sweet shrub, Calycanthus floridus
n11701302	spicebush, California allspice, Calycanthus occidentalis
n11702713	katsura tree, Cercidiphyllum japonicum
n11703669	laurel
n11704093	true laurel, bay, bay laurel, bay tree, Laurus nobilis
n11704620	camphor tree, Cinnamomum camphora
n11704791	cinnamon, Ceylon cinnamon, Ceylon cinnamon tree, Cinnamomum zeylanicum
n11705171	cassia, cassia-bark tree, Cinnamomum cassia
n11705387	cassia bark, Chinese cinnamon
n11705573	Saigon cinnamon, Cinnamomum loureirii
n11705776	cinnamon bark
n11706325	spicebush, spice bush, American spicebush, Benjamin bush, Lindera benzoin, Benzoin odoriferum
n11706761	avocado, avocado tree, Persea Americana
n11706942	laurel-tree, red bay, Persea borbonia
n11707229	sassafras, sassafras tree, Sassafras albidum
n11707827	California laurel, California bay tree, Oregon myrtle, pepperwood, spice tree, sassafras laurel, California olive, mountain laurel, Umbellularia californica
n11708658	八角
n11708857	purple anise, Illicium floridanum
n11709045	star anise, Illicium anisatum
n11709205	star anise, Chinese anise, Illicium verum
n11709674	magnolia
n11710136	southern magnolia, evergreen magnolia, large-flowering magnolia, bull bay, Magnolia grandiflora
n11710393	umbrella tree, umbrella magnolia, elkwood, elk-wood, Magnolia tripetala
n11710658	earleaved umbrella tree, Magnolia fraseri
n11710827	cucumber tree, Magnolia acuminata
n11710987	large-leaved magnolia, large-leaved cucumber tree, great-leaved macrophylla, Magnolia macrophylla
n11711289	saucer magnolia, Chinese magnolia, Magnolia soulangiana
n11711537	star magnolia, Magnolia stellata
n11711764	sweet bay, swamp bay, swamp laurel, Magnolia virginiana
n11711971	manglietia, genus Manglietia
n11712282	tulip tree, tulip poplar, yellow poplar, canary whitewood, Liriodendron tulipifera
n11713164	moonseed
n11713370	common moonseed, Canada moonseed, yellow parilla, Menispermum canadense
n11713763	Carolina moonseed, Cocculus carolinus
n11714382	nutmeg, nutmeg tree, Myristica fragrans
n11715430	water nymph, fragrant water lily, pond lily, Nymphaea odorata
n11715678	European white lily, Nymphaea alba
n11716698	southern spatterdock, Nuphar sagittifolium
n11717399	lotus, Indian lotus, sacred lotus, Nelumbo nucifera
n11717577	water chinquapin, American lotus, yanquapin, Nelumbo lutea
n11718296	water-shield, fanwort, Cabomba caroliniana
n11718681	water-shield, Brasenia schreberi, water-target
n11719286	peony, paeony
n11720353	buttercup, butterflower, butter-flower, crowfoot, goldcup, kingcup
n11720643	meadow buttercup, tall buttercup, tall crowfoot, tall field buttercup, Ranunculus acris
n11720891	water crowfoot, water buttercup, Ranunculus aquatilis
n11721337	lesser celandine, pilewort, Ranunculus ficaria
n11721642	lesser spearwort, Ranunculus flammula
n11722036	greater spearwort, Ranunculus lingua
n11722342	western buttercup, Ranunculus occidentalis
n11722466	creeping buttercup, creeping crowfoot, Ranunculus repens
n11722621	cursed crowfoot, celery-leaved buttercup, Ranunculus sceleratus
n11722982	乌头
n11723227	monkshood, helmetflower, helmet flower, Aconitum napellus
n11723452	wolfsbane, wolfbane, wolf's bane, Aconitum lycoctonum
n11723770	baneberry, cohosh, herb Christopher
n11723986	baneberry
n11724109	red baneberry, redberry, red-berry, snakeberry, Actaea rubra
n11724660	pheasant's-eye, Adonis annua
n11725015	秋牡丹
n11725311	高山银莲花
n11725480	Canada anemone, Anemone Canadensis
n11725623	thimbleweed, Anemone cylindrica
n11725821	wood anemone, Anemone nemorosa
n11725973	wood anemone, snowdrop, Anemone quinquefolia
n11726145	longheaded thimbleweed, Anemone riparia
n11726269	snowdrop anemone, snowdrop windflower, Anemone sylvestris
n11726433	Virginia thimbleweed, Anemone virginiana
n11726707	rue anemone, Anemonella thalictroides
n11727091	columbine, aquilegia, aquilege
n11727358	meeting house, honeysuckle, Aquilegia canadensis
n11727540	blue columbine, Aquilegia caerulea, Aquilegia scopulorum calcarea
n11727738	granny's bonnets, Aquilegia vulgaris
n11728099	marsh marigold, kingcup, meadow bright, May blob, cowslip, water dragon, Caltha palustris
n11728769	美国升麻
n11728945	black cohosh, black snakeroot, rattle-top, Cimicifuga racemosa
n11729142	fetid bugbane, foetid bugbane, Cimicifuga foetida
n11729478	clematis
n11729860	pine hyacinth, Clematis baldwinii, Viorna baldwinii
n11730015	blue jasmine, blue jessamine, curly clematis, marsh clematis, Clematis crispa
n11730458	golden clematis, Clematis tangutica
n11730602	scarlet clematis, Clematis texensis
n11730750	leather flower, Clematis versicolor
n11730933	leather flower, vase-fine, vase vine, Clematis viorna
n11731157	virgin's bower, old man's beard, devil's darning needle, Clematis virginiana
n11731659	purple clematis, purple virgin's bower, mountain clematis, Clematis verticillaris
n11732052	goldthread, golden thread, Coptis groenlandica, Coptis trifolia groenlandica
n11732567	rocket larkspur, Consolida ambigua, Delphinium ajacis
n11733054	delphinium
n11733312	larkspur
n11733548	winter aconite, Eranthis hyemalis
n11734493	lenten rose, black hellebore, Helleborus orientalis
n11734698	green hellebore, Helleborus viridis
n11735053	hepatica, liverleaf
n11735570	goldenseal, golden seal, yellow root, turmeric root, Hydrastis Canadensis
n11735977	false rue anemone, false rue, Isopyrum biternatum
